Data,Vendedor,Produto,Valor Unitario,Quantidade Vendida,Faturamento,Lucro,Forma de Pagamento,Local da venda,Unnamed: 0
3/1/2020,João Martins - 16337283762,Tablet,R$ 500,2,R$ 1.000,R$ 400,Cartão de Crédito,Sergipe (SE),30
3/1/2020,João Lira - 17278283926,Notebook,R$ 700,3,R$ 2.100,R$ 700,Boleto,Tocantins (TO),61
4/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,5,R$ 1.500,R$ 300,Cartão de Crédito,Bahia (BA),34
4/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,5,R$ 2.500,R$ 1.300,Cartão de Crédito,Ceará (CE),48
4/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,2,R$ 1.400,R$ 300,Cartão de Crédito,Distrito Federal (DF),28
4/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,6,R$ 1.800,R$ 1.000,Cartão de Crédito,Espírito Santo (ES),72
4/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,4,R$ 2.000,R$ 1.200,Boleto,Goiás (GO),95
4/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,6,R$ 4.200,R$ 1.600,Cartão de Crédito,Maranhão (MA),31
4/1/2020,João Lira - 17278283926,Celular,R$ 300,2,R$ 600,R$ 100,Cartão de Crédito,Mato Grosso (MT),47
4/1/2020,João Lira - 17278283926,Tablet,R$ 500,4,R$ 2.000,R$ 1.200,Cartão de Crédito,Mato Grosso do Sul (MS),33
4/1/2020,João Lira - 17278283926,Notebook,R$ 700,4,R$ 2.800,R$ 1.300,Cartão de Crédito,Minas Gerais (MG),90
4/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,4,R$ 1.200,R$ 400,Boleto,Pará (PA),64
4/1/2020,João Martins - 16337283762,Tablet,R$ 500,7,R$ 3.500,R$ 2.200,Boleto,Paraíba (PB),22
4/1/2020,João Martins - 16337283762,Notebook,R$ 700,0,R$ 0,R$ 0,Cartão de Crédito,Paraná (PR),86
4/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,4,R$ 1.200,R$ 400,Boleto,Pernambuco (PE),30
4/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,6,R$ 3.000,R$ 1.100,Cartão de Crédito,Piauí (PI),95
4/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,0,R$ 0,R$ 0,Cartão de Crédito,Rio de Janeiro (RJ),30
4/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,2,R$ 600,R$ 300,Cartão de Crédito,Rio Grande do Norte (RN),82
4/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,6,R$ 3.000,R$ 1.400,Cartão de Crédito,Rio Grande do Sul (RS),41
4/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,8,R$ 5.600,R$ 2.200,Cartão de Crédito,Rondônia (RO),59
4/1/2020,João Lira - 17278283926,Celular,R$ 300,9,R$ 2.700,R$ 1.200,Cartão de Crédito,Roraima (RR),40
4/1/2020,João Lira - 17278283926,Tablet,R$ 500,7,R$ 3.500,R$ 1.800,Cartão de Crédito,Santa Catarina (SC),52
4/1/2020,João Lira - 17278283926,Notebook,R$ 700,5,R$ 3.500,R$ 1.400,Cartão de Crédito,São Paulo (SP),60
4/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,4,R$ 1.200,R$ 300,Cartão de Crédito,Sergipe (SE),62
4/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,0,R$ 0,R$ 0,Cartão de Crédito,Tocantins (TO),0
4/1/2020,João Martins - 16337283762,Notebook,R$ 700,1,R$ 700,R$ 200,Cartão de Crédito,Acre (AC),39
4/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,0,R$ 0,R$ 0,Cartão de Crédito,Alagoas (AL),47
4/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,1,R$ 500,R$ 200,Cartão de Crédito,Amapá (AP),58
4/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,6,R$ 4.200,R$ 2.200,Cartão de Crédito,Amazonas (AM),81
4/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,3,R$ 900,R$ 400,Boleto,Bahia (BA),35
4/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,0,R$ 0,R$ 0,Boleto,Ceará (CE),84
4/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,3,R$ 2.100,R$ 1.200,Cartão de Crédito,Distrito Federal (DF),65
4/1/2020,João Lira - 17278283926,Celular,R$ 300,1,R$ 300,R$ 200,Cartão de Crédito,Espírito Santo (ES),66
4/1/2020,João Lira - 17278283926,Tablet,R$ 500,1,R$ 500,R$ 300,Cartão de Crédito,Goiás (GO),40
4/1/2020,João Lira - 17278283926,Notebook,R$ 700,2,R$ 1.400,R$ 800,Cartão de Crédito,Maranhão (MA),10
4/1/2020,João Lira - 17278283926,Celular,R$ 300,2,R$ 600,R$ 300,Cartão de Crédito,Mato Grosso (MT),23
4/1/2020,João Lira - 17278283926,Tablet,R$ 500,1,R$ 500,R$ 100,Cartão de Crédito,Mato Grosso do Sul (MS),62
4/1/2020,João Martins - 16337283762,Notebook,R$ 700,3,R$ 2.100,R$ 800,Cartão de Crédito,Minas Gerais (MG),42
5/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,3,R$ 900,R$ 200,Boleto,Pará (PA),85
5/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,5,R$ 2.500,R$ 600,Cartão de Crédito,Paraíba (PB),31
5/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,0,R$ 0,R$ 0,Cartão de Crédito,Paraná (PR),15
5/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,8,R$ 2.400,R$ 1.100,Boleto,Pernambuco (PE),74
5/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,7,R$ 3.500,R$ 2.200,Cartão de Crédito,Piauí (PI),79
5/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,2,R$ 1.400,R$ 700,Cartão de Crédito,Rio de Janeiro (RJ),23
5/1/2020,João Lira - 17278283926,Celular,R$ 300,3,R$ 900,R$ 200,Cartão de Crédito,Rio Grande do Norte (RN),32
5/1/2020,João Lira - 17278283926,Tablet,R$ 500,3,R$ 1.500,R$ 800,Cartão de Crédito,Rio Grande do Sul (RS),27
5/1/2020,João Lira - 17278283926,Notebook,R$ 700,2,R$ 1.400,R$ 300,Cartão de Crédito,Rondônia (RO),53
5/1/2020,João Martins - 16337283762,Celular,R$ 300,0,R$ 0,R$ 0,Cartão de Crédito,Roraima (RR),79
5/1/2020,João Lira - 17278283926,Tablet,R$ 500,5,R$ 2.500,R$ 700,Cartão de Crédito,Santa Catarina (SC),50
5/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,4,R$ 2.800,R$ 700,Cartão de Crédito,São Paulo (SP),75
5/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,2,R$ 600,R$ 400,Cartão de Crédito,Sergipe (SE),18
5/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,1,R$ 500,R$ 200,Cartão de Crédito,Tocantins (TO),24
5/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,5,R$ 3.500,R$ 2.100,Cartão de Crédito,Bahia (BA),10
5/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,1,R$ 300,R$ 100,Cartão de Crédito,Ceará (CE),80
5/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,2,R$ 1.000,R$ 200,Cartão de Crédito,Distrito Federal (DF),62
5/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,7,R$ 4.900,R$ 2.600,Cartão de Crédito,Espírito Santo (ES),96
5/1/2020,João Lira - 17278283926,Celular,R$ 300,9,R$ 2.700,R$ 900,Cartão de Crédito,Goiás (GO),86
5/1/2020,João Lira - 17278283926,Tablet,R$ 500,3,R$ 1.500,R$ 700,Cartão de Crédito,Maranhão (MA),98
5/1/2020,João Lira - 17278283926,Notebook,R$ 700,5,R$ 3.500,R$ 800,Cartão de Crédito,Mato Grosso (MT),31
5/1/2020,João Lira - 17278283926,Celular,R$ 300,0,R$ 0,R$ 0,Cartão de Crédito,Mato Grosso do Sul (MS),30
5/1/2020,João Martins - 16337283762,Tablet,R$ 500,4,R$ 2.000,R$ 500,Cartão de Crédito,Minas Gerais (MG),79
5/1/2020,João Lira - 17278283926,Notebook,R$ 700,2,R$ 1.400,R$ 800,Cartão de Crédito,Pará (PA),3
5/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,6,R$ 1.800,R$ 900,Cartão de Crédito,Paraíba (PB),50
5/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,5,R$ 2.500,R$ 700,Cartão de Crédito,Paraná (PR),97
5/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,2,R$ 1.400,R$ 400,Cartão de Crédito,Pernambuco (PE),37
5/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,1,R$ 300,R$ 200,Cartão de Crédito,Piauí (PI),18
5/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,3,R$ 1.500,R$ 500,Cartão de Crédito,Rio de Janeiro (RJ),85
5/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,0,R$ 0,R$ 0,Boleto,Rio Grande do Norte (RN),83
5/1/2020,João Lira - 17278283926,Celular,R$ 300,1,R$ 300,R$ 200,Cartão de Crédito,Rio Grande do Sul (RS),48
5/1/2020,João Lira - 17278283926,Tablet,R$ 500,1,R$ 500,R$ 200,Boleto,Rondônia (RO),52
5/1/2020,João Lira - 17278283926,Notebook,R$ 700,1,R$ 700,R$ 300,Boleto,Roraima (RR),0
5/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,1,R$ 300,R$ 100,Cartão de Crédito,Santa Catarina (SC),54
5/1/2020,João Martins - 16337283762,Tablet,R$ 500,2,R$ 1.000,R$ 600,Cartão de Crédito,São Paulo (SP),55
5/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,1,R$ 700,R$ 400,Cartão de Crédito,Sergipe (SE),99
6/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,5,R$ 1.500,R$ 600,Cartão de Crédito,Tocantins (TO),74
6/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,1,R$ 500,R$ 200,Cartão de Crédito,Acre (AC),72
6/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,4,R$ 2.800,R$ 1.000,Cartão de Crédito,Alagoas (AL),5
6/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,2,R$ 600,R$ 300,Cartão de Crédito,Amapá (AP),90
6/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,5,R$ 2.500,R$ 900,Cartão de Crédito,Amazonas (AM),40
6/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,1,R$ 700,R$ 200,Boleto,Bahia (BA),74
6/1/2020,João Lira - 17278283926,Celular,R$ 300,7,R$ 2.100,R$ 500,Cartão de Crédito,Ceará (CE),33
6/1/2020,João Lira - 17278283926,Tablet,R$ 500,6,R$ 3.000,R$ 1.800,Cartão de Crédito,Distrito Federal (DF),63
6/1/2020,João Lira - 17278283926,Notebook,R$ 700,2,R$ 1.400,R$ 600,Cartão de Crédito,Espírito Santo (ES),10
6/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,3,R$ 900,R$ 300,Cartão de Crédito,Goiás (GO),8
6/1/2020,João Martins - 16337283762,Tablet,R$ 500,8,R$ 4.000,R$ 2.400,Cartão de Crédito,Maranhão (MA),97
6/1/2020,João Lira - 17278283926,Notebook,R$ 700,9,R$ 6.300,R$ 4.000,Cartão de Crédito,Mato Grosso (MT),47
6/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,2,R$ 600,R$ 200,Boleto,Mato Grosso do Sul (MS),7
6/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,4,R$ 2.000,R$ 1.000,Cartão de Crédito,Minas Gerais (MG),2
6/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,6,R$ 4.200,R$ 1.800,Cartão de Crédito,Pará (PA),55
6/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,2,R$ 600,R$ 300,Cartão de Crédito,Paraíba (PB),6
6/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,6,R$ 3.000,R$ 1.800,Cartão de Crédito,Paraná (PR),82
6/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,7,R$ 4.900,R$ 3.000,Boleto,Pernambuco (PE),42
6/1/2020,João Lira - 17278283926,Celular,R$ 300,5,R$ 1.500,R$ 300,Cartão de Crédito,Piauí (PI),14
6/1/2020,João Lira - 17278283926,Tablet,R$ 500,6,R$ 3.000,R$ 1.700,Cartão de Crédito,Rio de Janeiro (RJ),97
6/1/2020,João Lira - 17278283926,Notebook,R$ 700,8,R$ 5.600,R$ 1.800,Cartão de Crédito,Rio Grande do Norte (RN),17
6/1/2020,João Martins - 16337283762,Celular,R$ 300,4,R$ 1.200,R$ 400,Boleto,Rio Grande do Sul (RS),86
6/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,1,R$ 500,R$ 200,Cartão de Crédito,Rondônia (RO),23
6/1/2020,João Martins - 16337283762,Notebook,R$ 700,3,R$ 2.100,R$ 600,Cartão de Crédito,Roraima (RR),30
